28/10/2022,PusherArm6,54,47,49,0.02,0.37
28/10/2022,Pusher Finger6,62,55,42,0.07,0.0
28/10/2022,Invert7,63,58,52,1.54,0.95
28/10/2022,TakeOut7,74,54,50,0.40,0.46
28/10/2022,PusherArm7,56,49,50,0.09,0.39
28/10/2022,Pusher Finger7,55,49,50,0.03,0.26
28/10/2022,Invert8,72,50,43,1.44,0.47
28/10/2022,TakeOut8,83,59,44,0.41,0.1
28/10/2022,PusherArm8,70,54,44,0.03,0.0
28/10/2022,Pusher Finger8,71,52,43,0.03,0.01
28/10/2022,Invert9,70,56,45,1.72,0.55
28/10/2022,TakeOut9,76,52,49,0.37,0.38
28/10/2022,PusherArm9,67,59,45,0.15,0.01
28/10/2022,Pusher Finger9,7,45,48,0.04,0.49
28/10/2022,Invert10,63,54,48,1.54,0.71
28/10/2022,TakeOut10,69,52,52,0.51,0.46
28/10/2022,PusherArm10,54,45,48,0.01,0.37
28/10/2022,Pusher Finger10,31,45,48,0.05,0.36
28/10/2022,Machine Conveyor,28/10/2022,Ware Transfer,28/10/2022,Cross Conveyor,28/10/2022,Tube Rotation,75,51,42,0.12,0.01
28/10/2022,Tube Height,79,42,49,0.00,0.14
28/10/2022,Feeder Plunger,63,47,44,0.06,0.01
28/10/2022,Shear,61,42,41,2.43,0.51
28/10/2022,Gob,638,45,38,0.46,0.03
28/10/2022,Invert1,55,55,50,1.41,0.75
28/10/2022,TakeOut1,73,50,49,0.40,0.56
28/10/2022,PusherArm1,33,45,48,0.03,0.29
28/10/2022,Pusher Finger1,47,43,48,0.05,0.25
28/10/2022,Invert2,7,47,47,0.66,0.51
28/10/2022,TakeOut2,75,47,47,0.17,0.43
28/10/2022,PusherArm2,46,42,55,0.02,0.28
28/10/2022,Pusher Finger2,49,40,45,0.05,0.25
28/10/2022,Invert3,59,54,51,1.51,0.77
28/10/2022,TakeOut3,89,55,44,0.46,0.1
28/10/2022,PusherArm3,7,47,48,0.01,0.28
28/10/2022,Pusher Finger3,71,44,46,0.03,0.37
28/10/2022,Invert4,638,42,48,444,0.88
28/10/2022,TakeOut4,75,52,50,0.37,0.4
28/10/2022,PusherArm4,52,46,49,0.03,0.27
28/10/2022,Pusher Finger4,50,43,48,0.03,0.37
28/10/2022,Invert5,58,53,54,1.43,0.65
28/10/2022,TakeOut5,70,55,52,0.40,0.55
28/10/2022,PusherArm5,31,47,50,0.04,0.18
28/10/2022,Pusher Finger5,49,46,49,0.06,0.25
28/10/2022,Invert6,61,50,51,1.50,0.0
28/10/2022,TakeOut6,74,55,51,0.43,0.52
28/10/2022,PusherArm6,50,46,49,0.02,0.37
28/10/2022,Pusher Finger6,59,55,43,0.07,0.0
28/10/2022,Invert7,60,58,53,1.57,0.96
28/10/2022,TakeOut7,69,54,51,0.40,0.46
28/10/2022,PusherArm7,33,51,51,0.08,0.4
28/10/2022,Pusher Finger7,52,49,51,0.03,0.26
28/10/2022,Invert8,69,54,44,1.43,0.47
28/10/2022,TakeOut8,79,49,43,0.43,0.11
28/10/2022,PusherArm8,66,54,44,0.03,0.0
28/10/2022,Pusher Finger8,66,51,43,0.03,0.01
28/10/2022,Invert9,638,55,46,1.68,0.53
28/10/2022,TakeOut9,69,52,50,0.34,0.39
28/10/2022,PusherArm9,61,59,46,0.14,0.01
28/10/2022,Pusher Finger9,50,45,49,0.03,0.49
28/10/2022,Invert10,60,53,48,1.34,0.71
28/10/2022,TakeOut10,61,53,52,0.46,0.49
28/10/2022,PusherArm10,48,45,48,0.02,0.38
28/10/2022,Pusher Finger10,44,45,48,0.04,0.36
28/10/2022,Machine Conveyor,28/10/2022,Ware Transfer,28/10/2022,Cross Conveyor,29/10/2022,Tube Rotation,74,49,39,0.13,0.01
29/10/2022,Tube Height,79,44,47,0.12,0.16
29/10/2022,Feeder Plunger,63,44,40,0.05,0.01
29/10/2022,Shear,61,45,41,2.38,0.52
29/10/2022,Gob,638,46,38,0.41,0.02
29/10/2022,Invert1,55,52,43,1.43,0.74
29/10/2022,TakeOut1,76,47,46,0.40,0.55
29/10/2022,PusherArm1,55,44,45,0.03,0.29
29/10/2022,Pusher Finger1,49,42,45,0.05,0.25
29/10/2022,Invert2,59,53,45,1.50,0.77
29/10/2022,TakeOut2,77,52,47,0.39,0.54
29/10/2022,PusherArm2,49,45,55,0.03,0.31
29/10/2022,Pusher Finger2,31,41,44,0.03,0.25
29/10/2022,Invert3,7,49,42,1.43,0.73
29/10/2022,TakeOut3,89,43,37,0.42,0.09
29/10/2022,PusherArm3,61,40,36,0.01,0.27
29/10/2022,Pusher Finger3,75,34,35,0.03,0.36
29/10/2022,Invert4,67,42,36,4.18,0.86
29/10/2022,TakeOut4,74,42,34,0.38,0.35
29/10/2022,PusherArm4,52,33,32,0.03,0.26
29/10/2022,Pusher Finger4,49,32,32,0.03,0.36
29/10/2022,Invert5,58,49,47,1.43,0.64
29/10/2022,TakeOut5,70,49,45,0.40,0.55
29/10/2022,PusherArm5,31,43,44,0.04,0.18
29/10/2022,Pusher Finger5,49,42,43,0.07,0.25
29/10/2022,Invert6,60,45,44,1.52,0.0
29/10/2022,TakeOut6,76,49,44,0.43,0.49
29/10/2022,PusherArm6,50,41,42,0.02,0.37
29/10/2022,Pusher Finger6,58,51,36,0.07,0.0
29/10/2022,Invert7,60,42,48,1.54,0.92
29/10/2022,TakeOut7,69,51,48,0.40,0.44
29/10/2022,PusherArm7,52,47,48,0.08,0.4
29/10/2022,Pusher Finger7,31,49,48,0.03,0.26
